Temperature,CO2,VOC,Time
16.9375,400,0,00:48:12
16.9375,400,0,00:48:13
16.9375,400,0,00:48:14
17.0,400,0,00:48:15
17.0,400,0,00:48:17
17.0625,400,0,00:48:18
17.0,400,0,00:48:19
17.0625,400,0,00:48:20
17.0625,400,0,00:48:22
17.1875,400,0,00:48:23
17.1875,400,0,00:48:24
17.1875,400,0,00:48:25
17.1875,400,0,00:48:27
17.25,400,0,00:48:28
17.25,400,0,00:48:29
17.25,400,0,00:48:30
17.3125,400,0,00:48:31
17.3125,400,0,00:48:33
17.375,400,0,00:48:34
17.375,400,0,00:48:35
17.375,400,0,00:48:36
17.375,400,0,00:48:38
17.4375,400,0,00:48:39
17.4375,400,0,00:48:40
17.5625,400,0,00:48:41
17.5625,400,0,00:48:43
17.5625,400,0,00:48:44
17.5625,400,0,00:48:45
17.625,400,0,00:48:46
17.5625,400,0,00:48:47
17.625,400,0,00:48:49
17.6875,400,0,00:48:50
17.6875,400,0,00:48:51
17.8125,400,0,00:48:52
17.8125,400,0,00:48:54
17.8125,400,0,00:48:55
17.8125,400,0,00:48:56
17.875,400,0,00:48:57
17.875,400,0,00:48:59
17.9375,400,0,00:49:00
17.9375,400,0,00:49:01
17.9375,400,0,00:49:02
18.0,400,0,00:49:04
18.0,400,0,00:49:05
18.0625,400,0,00:49:06
18.0625,400,0,00:49:07
18.0625,400,0,00:49:08
18.0625,400,0,00:49:10
18.125,400,0,00:49:11
18.1875,400,0,00:49:12
18.25,400,0,00:49:13
18.25,400,0,00:49:15
18.3125,400,0,00:49:16
18.375,400,0,00:49:17
18.375,400,0,00:49:18
18.375,400,0,00:49:20
18.4375,400,0,00:49:21
18.375,400,0,00:49:22
18.5,400,0,00:49:23
18.5,400,0,00:49:24
18.5625,400,0,00:49:26
18.625,400,0,00:49:27
18.625,400,0,00:49:28
18.625,400,0,00:49:29
18.6875,400,0,00:49:31
18.6875,400,0,00:49:32
18.75,400,0,00:49:33
18.75,400,0,00:49:34
18.75,400,0,00:49:36
18.8125,400,0,00:49:37
18.875,400,0,00:49:38
18.875,400,0,00:49:39
18.9375,400,0,00:49:41
18.9375,400,0,00:49:42
19.0,400,0,00:49:43
19.0,400,0,00:49:44
19.0625,400,0,00:49:45
19.125,400,0,00:49:47
19.0625,400,0,00:49:48
19.125,400,0,00:49:49
19.125,400,0,00:49:50
19.1875,400,0,00:49:52
19.25,400,0,00:49:53
19.25,400,0,00:49:54
19.3125,400,0,00:49:55
19.375,400,0,00:49:57
19.5,400,0,00:49:58
19.4375,400,0,00:49:59
19.5,400,0,00:50:00
19.5,400,0,00:50:01
19.5625,400,0,00:50:03
19.625,400,0,00:50:04
19.6875,400,0,00:50:05
19.6875,400,0,00:50:06
19.625,400,0,00:50:08
19.75,400,0,00:50:09
19.6875,400,0,00:50:10
19.75,400,0,00:50:11
19.75,400,0,00:50:13
19.75,400,0,00:50:14
19.875,400,0,00:50:15
19.8125,400,0,00:50:16
19.875,400,0,00:50:18
19.875,400,0,00:50:19
19.9375,400,0,00:50:20
19.9375,400,0,00:50:21
20.0,400,0,00:50:22
20.0,400,0,00:50:24
20.0,400,0,00:50:25
20.0625,400,0,00:50:26
20.125,400,0,00:50:27
20.125,400,0,00:50:29
20.125,400,0,00:50:30
20.1875,400,0,00:50:31
20.1875,400,0,00:50:32
20.25,400,0,00:50:34
20.25,400,0,00:50:35
20.25,400,0,00:50:36
20.3125,400,0,00:50:37
20.3125,400,0,00:50:39
20.375,400,0,00:50:40
20.375,400,0,00:50:41
20.375,400,0,00:50:42
20.5,400,0,00:50:43
20.5,400,0,00:50:45
20.5,400,0,00:50:46
20.5,400,0,00:50:47
20.5,400,0,00:50:48
20.5625,400,0,00:50:50
20.625,400,0,00:50:51
20.625,400,0,00:50:52
20.625,400,0,00:50:53
20.6875,400,0,00:50:55
20.6875,400,0,00:50:56
20.75,400,0,00:50:57
20.8125,400,0,00:50:58
20.8125,400,0,00:50:59
20.8125,400,0,00:51:01
20.875,400,0,00:51:02
20.875,400,0,00:51:03
20.875,400,0,00:51:04
21.0,400,0,00:51:06
21.0,400,0,00:51:07
21.0625,400,0,00:51:08
21.0625,400,0,00:51:09
21.1875,400,0,00:51:11
21.125,400,0,00:51:12
21.1875,400,0,00:51:13
21.1875,400,0,00:51:14
21.1875,400,0,00:51:16
21.25,400,0,00:51:17
21.25,400,0,00:51:18
21.25,400,0,00:51:19
21.375,400,0,00:51:20
21.4375,400,0,00:51:22
21.4375,400,0,00:51:23
21.4375,400,0,00:51:24
21.5,400,0,00:51:25
21.5625,400,0,00:51:27
21.5625,400,0,00:51:28
21.5625,400,0,00:51:29
21.6875,400,0,00:51:30
21.625,400,0,00:51:32
21.6875,400,0,00:51:33
21.75,400,0,00:51:34
21.6875,400,0,00:51:35
21.75,400,0,00:51:37
21.75,400,0,00:51:38
21.75,400,0,00:51:39
21.8125,400,0,00:51:40
21.875,400,0,00:51:41
21.875,400,0,00:51:43
21.9375,400,0,00:51:44
21.9375,400,0,00:51:45
22.0,400,0,00:51:46
22.0,400,0,00:51:48
22.0,400,0,00:51:49
22.0,400,0,00:51:50
22.0,400,0,00:51:51
22.0625,400,0,00:51:53
22.125,400,0,00:51:54
22.125,400,0,00:51:55
22.125,400,0,00:51:56
22.25,400,0,00:51:57
22.1875,400,0,00:51:59
22.25,400,0,00:52:00
22.3125,400,0,00:52:01
22.3125,400,0,00:52:02
22.375,400,0,00:52:04
22.375,400,0,00:52:05
22.4375,400,0,00:52:06
22.4375,400,0,00:52:07
22.4375,400,0,00:52:09
22.4375,400,0,00:52:10
22.5,400,0,00:52:11
22.5,400,0,00:52:12
22.625,400,0,00:52:14
22.625,400,0,00:52:15
22.6875,400,0,00:52:16
22.6875,400,0,00:52:17
22.6875,400,0,00:52:18
22.6875,400,0,00:52:20
22.75,400,0,00:52:21
22.75,400,0,00:52:22
22.75,400,0,00:52:23
22.75,400,0,00:52:25
22.8125,400,0,00:52:26
22.8125,400,0,00:52:27
22.875,400,0,00:52:28
22.9375,400,0,00:52:30
22.9375,400,0,00:52:31
23.0,400,0,00:52:32
22.9375,400,0,00:52:33
23.0,400,0,00:52:35
23.0,400,0,00:52:36
23.0,400,0,00:52:37
23.0625,400,0,00:52:38
23.0625,400,0,00:52:39
23.0625,400,0,00:52:41
23.125,400,0,00:52:42
23.1875,400,0,00:52:43
23.25,400,0,00:52:44
23.3125,400,0,00:52:46
23.3125,400,0,00:52:47
23.3125,400,0,00:52:48
23.3125,400,0,00:52:49
23.4375,400,0,00:52:51
23.4375,400,0,00:52:52
23.4375,400,0,00:52:53
23.5,400,0,00:52:54
23.5,400,0,00:52:55
23.5,400,0,00:52:57
23.5625,400,0,00:52:58
23.625,400,0,00:52:59
23.625,400,0,00:53:00
23.6875,400,0,00:53:02
23.6875,400,0,00:53:03
23.75,400,0,00:53:04
23.75,400,0,00:53:05
23.75,400,0,00:53:07
23.8125,400,0,00:53:08
23.8125,400,0,00:53:09
23.875,400,0,00:53:10
23.875,400,0,00:53:12
23.875,400,0,00:53:13
23.875,400,0,00:53:14
23.9375,400,0,00:53:15
23.9375,400,0,00:53:16
24.0,400,0,00:53:18
24.0,400,0,00:53:19
24.0,400,0,00:53:20
24.0625,400,0,00:53:21
24.0625,400,0,00:53:23
24.125,400,0,00:53:24
24.1875,400,0,00:53:25
24.25,400,0,00:53:26
24.25,400,0,00:53:28
24.3125,400,0,00:53:29
24.375,400,0,00:53:30
24.375,400,0,00:53:31
24.3125,400,0,00:53:32
24.4375,400,0,00:53:34
24.4375,400,0,00:53:35
24.4375,400,0,00:53:36
24.4375,400,0,00:53:37
24.4375,400,0,00:53:39
24.5,400,0,00:53:40
24.5625,400,0,00:53:41
24.5625,400,0,00:53:42
24.5625,400,0,00:53:44
24.5625,400,0,00:53:45
24.625,400,0,00:53:46
24.625,400,0,00:53:47
24.625,400,0,00:53:49
24.6875,400,0,00:53:50
24.6875,400,0,00:53:51
24.75,400,0,00:53:52
24.75,400,0,00:53:53
24.8125,400,0,00:53:55
24.8125,400,0,00:53:56
24.875,400,0,00:53:57
24.875,400,0,00:53:58
24.875,400,0,00:54:00
24.9375,400,0,00:54:01
25.0,400,0,00:54:02
25.0,400,0,00:54:03
25.0,400,0,00:54:05
25.0625,400,0,00:54:06
25.0,400,0,00:54:07
25.0625,400,0,00:54:08
25.125,400,0,00:54:09
25.125,400,0,00:54:11
25.1875,400,0,00:54:12
25.125,400,0,00:54:13
25.1875,400,0,00:54:14
25.1875,400,0,00:54:16
25.1875,400,0,00:54:17
25.25,400,0,00:54:18
25.25,400,0,00:54:19
25.25,400,0,00:54:21
25.3125,400,0,00:54:22
25.3125,400,0,00:54:23
25.3125,400,0,00:54:24
25.375,400,0,00:54:26
25.375,400,0,00:54:27
25.375,400,0,00:54:28
25.375,400,0,00:54:29
25.4375,400,0,00:54:30
25.4375,400,0,00:54:32
25.4375,400,0,00:54:33
25.5,400,0,00:54:34
25.4375,400,0,00:54:35
25.5,400,0,00:54:37
25.5,400,0,00:54:38
25.5,400,0,00:54:39
25.5,400,0,00:54:40
25.5625,400,0,00:54:42
25.5625,400,0,00:54:43
25.5625,400,0,00:54:44
25.5625,400,0,00:54:45
25.625,400,0,00:54:46
25.625,400,0,00:54:48
25.6875,400,0,00:54:49
25.6875,400,0,00:54:50
25.6875,400,0,00:54:51
25.6875,400,0,00:54:53
25.6875,400,0,00:54:54
25.75,400,0,00:54:55
25.75,400,0,00:54:56
25.75,400,0,00:54:58
25.75,400,0,00:54:59
25.75,400,0,00:55:00
25.8125,400,0,00:55:01
25.75,400,0,00:55:03
25.8125,400,0,00:55:04
25.8125,400,0,00:55:05
25.8125,400,0,00:55:06
25.8125,400,0,00:55:07
25.8125,400,0,00:55:09
25.875,400,0,00:55:10
25.875,400,0,00:55:11
25.875,400,0,00:55:12
25.875,400,0,00:55:14
25.875,400,0,00:55:15
25.875,400,0,00:55:16
25.9375,400,0,00:55:17
25.875,400,0,00:55:19
25.9375,400,0,00:55:20
25.9375,400,0,00:55:21
25.9375,400,0,00:55:22
25.9375,400,0,00:55:24
25.9375,400,0,00:55:25
25.9375,400,0,00:55:26
26.0,400,0,00:55:27
25.9375,400,0,00:55:28
26.0,400,0,00:55:30
25.9375,400,0,00:55:31
26.0,400,0,00:55:32
26.0,400,0,00:55:33
26.0,400,0,00:55:35
26.0,400,0,00:55:36
26.0625,400,0,00:55:37
26.0,400,0,00:55:38
26.0625,400,0,00:55:40
26.0625,400,0,00:55:41
26.0625,400,0,00:55:42
26.0625,400,0,00:55:43
26.0625,400,0,00:55:44
