Temperature,CO2,VOC,Time
0.0625,400,0,00:42:45
0.0625,400,0,00:42:46
0.0625,400,0,00:42:47
0.0625,400,0,00:42:49
0.0625,400,0,00:42:50
0.0625,400,0,00:42:51
0.125,400,0,00:42:52
0.0625,400,0,00:42:53
0.0625,400,0,00:42:55
0.0625,400,0,00:42:56
0.0625,400,0,00:42:57
0.0625,400,0,00:42:58
0.0,400,0,00:43:00
0.0625,400,0,00:43:01
0.0,400,0,00:43:02
0.0,400,0,00:43:03
0.0,400,0,00:43:05
0.0,400,0,00:43:06
0.0,400,0,00:43:07
0.0,400,0,00:43:08
0.0,400,0,00:43:10
-0.0625,400,0,00:43:11
0.0,400,0,00:43:12
0.0,400,0,00:43:13
-0.0625,400,0,00:43:14
0.0,400,0,00:43:16
0.0,400,0,00:43:17
-0.0625,400,0,00:43:18
-0.0625,400,0,00:43:19
-0.125,400,0,00:43:21
-0.125,400,0,00:43:22
-0.0625,400,0,00:43:23
-0.125,400,0,00:43:24
-0.0625,400,0,00:43:26
-0.0625,400,0,00:43:27
-0.125,400,0,00:43:28
-0.125,400,0,00:43:29
-0.125,400,0,00:43:31
-0.125,400,0,00:43:32
-0.125,400,0,00:43:33
-0.125,400,0,00:43:34
-0.125,400,0,00:43:35
-0.125,400,0,00:43:37
-0.125,400,0,00:43:38
-0.125,400,0,00:43:39
-0.1875,400,0,00:43:40
-0.1875,400,0,00:43:42
-0.125,400,0,00:43:43
-0.125,400,0,00:43:44
-0.1875,400,0,00:43:45
-0.1875,400,0,00:43:47
-0.1875,400,0,00:43:48
-0.1875,400,0,00:43:49
-0.1875,400,0,00:43:50
-0.25,400,0,00:43:52
-0.25,400,0,00:43:53
-0.25,400,0,00:43:54
-0.25,400,0,00:43:55
-0.25,400,0,00:43:57
-0.25,400,0,00:43:58
-0.25,400,0,00:43:59
-0.25,400,0,00:44:00
-0.3125,400,0,00:44:01
-0.25,400,0,00:44:03
-0.3125,400,0,00:44:04
-0.25,400,0,00:44:05
-0.25,400,0,00:44:06
-0.25,400,0,00:44:08
-0.3125,400,0,00:44:09
-0.25,400,0,00:44:10
-0.3125,400,0,00:44:11
-0.3125,400,0,00:44:13
-0.3125,400,0,00:44:14
-0.3125,400,0,00:44:15
-0.3125,400,0,00:44:16
-0.3125,400,0,00:44:17
-0.25,400,0,00:44:19
-0.3125,400,0,00:44:20
-0.3125,400,0,00:44:21
-0.3125,400,0,00:44:22
-0.3125,400,0,00:44:24
-0.25,400,0,00:44:25
-0.3125,400,0,00:44:26
-0.3125,400,0,00:44:27
-0.3125,400,0,00:44:29
-0.3125,400,0,00:44:30
-0.25,400,0,00:44:31
-0.3125,400,0,00:44:32
-0.3125,400,0,00:44:34
-0.3125,400,0,00:44:35
-0.3125,400,0,00:44:36
-0.375,400,0,00:44:37
-0.375,400,0,00:44:39
-0.3125,400,0,00:44:40
-0.375,400,0,00:44:41
-0.3125,400,0,00:44:42
-0.3125,400,0,00:44:43
-0.375,400,0,00:44:45
-0.375,400,0,00:44:46
-0.375,400,0,00:44:47
-0.375,400,0,00:44:48
-0.375,400,0,00:44:50
-0.3125,400,0,00:44:51
-0.375,400,0,00:44:52
-0.375,400,0,00:44:53
-0.375,400,0,00:44:55
-0.375,400,0,00:44:56
